GRIDCODE,CID,Fracc,Fracv
400869,5030,0.001119382,0.000124716
400870,5030,0.011418864,0.00127223
400871,5030,0.006216047,0.000692559
400871,5030,0.007045578,0.000784981
400872,5030,0.004821745,0.000537213
400872,19017,0.001594944,0.00019256
400873,19017,0.00022368,2.70052E-05
400874,19017,0.00102731,0.000124029
400875,19017,0.003875314,0.000467873
400876,19017,0.002089636,0.000252285
400877,19017,0.006365699,0.000768542
400878,19017,0.000186353,2.24987E-05
400882,19017,0.001462124,0.000176525
400883,19017,0.004653017,0.000561767
400884,19017,0.003625571,0.000437722
400885,19017,0.001995047,0.000240866
400886,19017,0.006682639,0.000806807
400887,19017,0.005750807,0.000694305
400894,19043,0.08230209,0.004625118
400895,19043,0.011823565,0.000664447
400901,19038,0.002656664,0.000842851
400902,19038,0.007074991,0.002244604
400903,19038,0.011569031,0.003670379
400904,19038,0.000937297,0.000297366
400905,19038,9.36546E-05,2.97128E-05
400907,19038,0.000115222,3.65553E-05
400908,19038,0.012477296,0.003958534
400909,19038,0.010501303,0.003331633
400909,19038,3.66584E-05,1.16302E-05
400910,19038,0.006228199,0.001975952
400911,19038,0.006240016,0.001979701
401921,5030,0.002575698,0.000286971
401922,5030,0.001406961,0.000156756
401923,5030,0.000399719,4.45346E-05
401931,5004,0.001844235,0.000440405
401931,19017,0.000154052,1.8599E-05
401932,5004,5.18861E-05,1.23904E-05
401932,19017,0.003931248,0.000474626
401933,19017,0.007239089,0.000873988
401934,19017,0.004941686,0.000596619
401935,19017,0.007150186,0.000863255
401936,19017,0.002009802,0.000242647
401937,19017,1.44216E-05,1.74114E-06
401938,19017,0.000117472,1.41826E-05
401939,19017,0.003085079,0.000372467
401940,19017,0.006583962,0.000794893
401941,19017,0.002329834,0.000281285
401943,19017,0.000119115,1.4381E-05
401944,19017,0.005669841,0.00068453
401945,19017,0.010489631,0.001266432
401946,19017,0.001792794,0.000216447
401952,19043,0.024288823,0.001364955
401953,19043,0.089976174,0.005056377
401960,19038,0.007950796,0.002522461
401961,19038,0.013055846,0.004142084
401962,19038,0.01511944,0.004796778
401963,19038,0.013163006,0.004176082
401964,19038,0.011039017,0.003502227
401965,19038,0.005211956,0.00165354
401967,19038,0.000190595,6.04679E-05
401968,19038,0.001007831,0.000319743
402980,5030,0.009490868,0.001057423
402981,5030,0.013320723,0.001484125
402982,5030,0.004592974,0.000511725
402983,5030,0.004421089,0.000492574
402984,5030,0.005259298,0.000585963
402985,5030,0.000306659,3.41663E-05
402989,5004,0.001077602,0.000257332
402990,5004,0.012613716,0.003012168
402991,5004,0.007537596,0.001799985
402991,19017,0.001501394,0.000181266
402992,5004,0.000644678,0.00015395
402992,19017,0.009050181,0.001092644
402993,19017,0.005412666,0.000653481
402994,19017,0.00032465,3.91956E-05
402996,19017,0.000260229,3.14179E-05
402997,19017,0.005623285,0.000678909
402998,19017,0.005224903,0.000630812
402999,19017,0.000295716,3.57023E-05
403000,19017,0.001783917,0.000215375
403001,19017,0.004874445,0.0005885
403002,19017,0.007660502,0.000924866
403003,19017,0.005426389,0.000655138
403004,19017,0.001367444,0.000165094
403009,19043,0.022910575,0.001287502
403010,19043,0.102775436,0.005775655
403011,19043,0.097533972,0.005481101
403012,19043,8.98978E-05,5.05197E-06
403019,19038,0.007584914,0.002406382
403020,19038,0.00869916,0.002759887
403021,19038,0.014653049,0.004648811
403022,19038,0.014393373,0.004566427
403023,19038,0.009745417,0.003091821
403024,19038,0.014897783,0.004726455
403025,19038,0.010174823,0.003228054
403026,19038,9.07078E-05,2.87779E-05
403028,19022,0.002258529,0.000484397
403029,19022,0.000503937,0.000108082
404039,5030,0.014384982,0.001602699
404040,5030,0.008835853,0.000984444
404041,5030,0.004685064,0.000521985
404042,5030,0.001067203,0.000118902
404042,5030,0.093114564,0.00070154
404043,5030,0.092631556,0.000697901
404044,5030,0.058957123,0.000444193
404048,5004,0.01597827,0.003815626
404049,5004,0.01680566,0.004013208
404050,5004,0.013151288,0.00314054
404051,5004,0.004471759,0.00106786
404051,19017,0.001230792,0.000148596
404052,5004,0.001899028,0.00045349
404052,19017,0.005405495,0.000652615
404053,19017,9.03369E-05,1.09065E-05
404054,19017,0.003367962,0.00040662
404055,19017,0.009151629,0.001104892
404056,19017,0.006847621,0.000826725
404057,19017,0.003463471,0.000418151
404058,19017,0.007497913,0.000905236
404059,19017,0.007113457,0.00085882
404060,19017,0.00382234,0.000461478
404061,19017,0.00052958,6.39371E-05
404068,19043,0.004907025,0.000275759
404069,19043,0.090544292,0.005088303
404077,19038,0.004314075,0.001368679
404078,19038,0.004419682,0.001402184
404078,19038,0.008915791,0.002828615
404079,19038,0.00658321,0.002088582
404080,19038,3.977E-05,1.26174E-05
404080,19038,0.009773671,0.003100785
404081,19038,0.014360765,0.004556081
404082,19038,0.012801579,0.004061416
404083,19038,0.015383508,0.004880556
404084,19022,0.000521727,0.000111897
404084,19038,0.014348415,0.004552163
404085,19022,0.000843807,0.000180975
404085,19038,0.004370177,0.001386478
404086,19022,6.72513E-05,1.44237E-05
404087,19022,0.011903332,0.002552964
404088,19022,0.00906964,0.001945209
405098,5030,0.011853328,0.001320635
405099,5030,0.002608325,0.000290606
405100,5030,0.008670225,0.000965991
405100,5030,0.000513092,3.86572E-06
405101,5030,0.001339639,0.000149256
405101,5030,0.033707075,0.000253955
405101,5030,0.031055761,0.000233979
405102,5030,0.118952945,0.000896211
405103,5030,0.096135288,0.000724299
405104,5030,0.001498707,1.12915E-05
